job_role,company_name,company_type,knowledge,skills,knowledge_cleaned,skills_cleaned,combined_features
NodeJS & Typescript Developer,Infosys,GSI,"NodeJS, Typescript, Microservices, API development, AWS, Core Java, Java Socket Programming, Python, JavaScript UI development, Memcache, NoSQL, Algorithms, UI & Markup Language, TypeScript.","NodeJS development, TypeScript programming, Microservices architecture, API integration, AWS services, Java Socket programming, Python development, JavaScript UI development, working with Memcache, NoSQL databases, algorithm design and optimization, TypeScript-based UI development, and efficient use of markup languages.",nodejs typescript microservices api development aws core java java socket programming python javascript ui development memcache nosql algorithms ui markup language typescript,nodejs development typescript programming microservices architecture api integration aws services java socket programming python development javascript ui development working memcache nosql databases algorithm design optimization typescriptbased ui development efficient use markup languages,NodeJS & Typescript Developer GSI nodejs typescript microservices api development aws core java java socket programming python javascript ui development memcache nosql algorithms ui markup language typescript nodejs development typescript programming microservices architecture api integration aws services java socket programming python development javascript ui development working memcache nosql databases algorithm design optimization typescriptbased ui development efficient use markup languages
Performance Test Engineer/Lead,Tata Consultany Services(TCS),GSI,"JMeter, Blazemeter, Load RoadRunner/Stormrunner, NFR requirements analysis, performance test script design and execution, application performance analysis, performance monitoring tools (Datadog, Splunk, Azure AppInsight, Mongo Atlas), relational and NoSQL databases, query tools, Azure infrastructure components, Kubernetes clusters, performance SLAs, application performance KPIs.","Performance test script development, test result analysis, troubleshooting performance issues, stakeholder communication and requirement elicitation, leadership, organizational and facilitation skills, project management, multitasking, effective report creation, problem-solving, and collaboration with developers and project teams.",jmeter blazemeter load roadrunnerstormrunner nfr requirements analysis performance test script design execution application performance analysis performance monitoring tools datadog splunk azure appinsight mongo atlas relational nosql databases query tools azure infrastructure components kubernetes clusters performance slas application performance kpis,performance test script development test result analysis troubleshooting performance issues stakeholder communication requirement elicitation leadership organizational facilitation skills project management multitasking effective report creation problemsolving collaboration developers project teams,Performance Test Engineer/Lead GSI jmeter blazemeter load roadrunnerstormrunner nfr requirements analysis performance test script design execution application performance analysis performance monitoring tools datadog splunk azure appinsight mongo atlas relational nosql databases query tools azure infrastructure components kubernetes clusters performance slas application performance kpis performance test script development test result analysis troubleshooting performance issues stakeholder communication requirement elicitation leadership organizational facilitation skills project management multitasking effective report creation problemsolving collaboration developers project teams
Gen AI Engineer,Tata Consultany Services(TCS),GSI,"Machine learning techniques (deep learning, reinforcement learning, predictive modeling), AI, ML, NLP, TensorFlow, PyTorch, Keras, scikit-learn, NLTK, Langchain, Python libraries (NumPy, Pandas, Matplotlib, Plotly), Large Language Models (LLMs) like GPT-3, GPT-4, BERT, Claude, Gemini, Mistral, data preprocessing, data exploration, and visualization tools, data analysis, forecasting algorithms (Linear Regression, Logistic Regression, GBM, Decision Trees, Random Forest, Neural Networks), software engineering principles, version control, cloud services (AWS, Azure), AI model testing and validation.","Machine learning and AI model development, working with LLMs and applying NLP techniques, data preprocessing and exploration, proficiency in Python programming and AI frameworks (TensorFlow, PyTorch, scikit-learn, Keras), experience in data visualization using libraries like Matplotlib and Plotly, data analysis and forecasting using statistical and machine learning algorithms, strong programming skills in Python, Java, JavaScript, knowledge of software engineering best practices, deployment of AI solutions on cloud platforms like AWS and Azure, developing rigorous testing methodologies for AI models, communication of complex technical concepts to both technical and non-technical stakeholders, and effective problem-solving in dynamic environments.",machine learning techniques deep learning reinforcement learning predictive modeling ai ml nlp tensorflow pytorch keras scikitlearn nltk langchain python libraries numpy pandas matplotlib plotly large language models llms like gpt3 gpt4 bert claude gemini mistral data preprocessing data exploration visualization tools data analysis forecasting algorithms linear regression logistic regression gbm decision trees random forest neural networks software engineering principles version control cloud services aws azure ai model testing validation,machine learning ai model development working llms applying nlp techniques data preprocessing exploration proficiency python programming ai frameworks tensorflow pytorch scikitlearn keras experience data visualization using libraries like matplotlib plotly data analysis forecasting using statistical machine learning algorithms strong programming skills python java javascript knowledge software engineering best practices deployment ai solutions cloud platforms like aws azure developing rigorous testing methodologies ai models communication complex technical concepts technical nontechnical stakeholders effective problemsolving dynamic environments,Gen AI Engineer GSI machine learning techniques deep learning reinforcement learning predictive modeling ai ml nlp tensorflow pytorch keras scikitlearn nltk langchain python libraries numpy pandas matplotlib plotly large language models llms like gpt3 gpt4 bert claude gemini mistral data preprocessing data exploration visualization tools data analysis forecasting algorithms linear regression logistic regression gbm decision trees random forest neural networks software engineering principles version control cloud services aws azure ai model testing validation machine learning ai model development working llms applying nlp techniques data preprocessing exploration proficiency python programming ai frameworks tensorflow pytorch scikitlearn keras experience data visualization using libraries like matplotlib plotly data analysis forecasting using statistical machine learning algorithms strong programming skills python java javascript knowledge software engineering best practices deployment ai solutions cloud platforms like aws azure developing rigorous testing methodologies ai models communication complex technical concepts technical nontechnical stakeholders effective problemsolving dynamic environments
Azure Databricks Data Engineer,Tata Consultany Services(TCS),GSI,"OLTP, OLAP, Data Warehousing (DW) technologies, Azure SQL, Azure SQL DW, Azure Data Lake Store, Azure Data Factory, Microsoft Azure PaaS features, Azure Cloud, Azure Databricks, cloud platforms, data modeling, data analysis, data governance, requirement gathering and client communication, conflict resolution in terms of bandwidth or design issues.","Implementation and operations of OLTP, OLAP, and DW technologies in Azure (SQL, SQL DW, Data Lake, Data Factory), working with Azure Cloud and Databricks, gathering and translating client requirements to technical teams, resolving bandwidth or design conflicts, applying data modeling and governance practices, strong client handling and communication skills, and the ability to manage complex technical and business requirements.",oltp olap data warehousing dw technologies azure sql azure sql dw azure data lake store azure data factory microsoft azure paas features azure cloud azure databricks cloud platforms data modeling data analysis data governance requirement gathering client communication conflict resolution terms bandwidth design issues,implementation operations oltp olap dw technologies azure sql sql dw data lake data factory working azure cloud databricks gathering translating client requirements technical teams resolving bandwidth design conflicts applying data modeling governance practices strong client handling communication skills ability manage complex technical business requirements,Azure Databricks Data Engineer GSI oltp olap data warehousing dw technologies azure sql azure sql dw azure data lake store azure data factory microsoft azure paas features azure cloud azure databricks cloud platforms data modeling data analysis data governance requirement gathering client communication conflict resolution terms bandwidth design issues implementation operations oltp olap dw technologies azure sql sql dw data lake data factory working azure cloud databricks gathering translating client requirements technical teams resolving bandwidth design conflicts applying data modeling governance practices strong client handling communication skills ability manage complex technical business requirements
"Python Developer (FastAPI, SQL)",Tech Mahindra,GSI,"Python programming, SQL query development and optimization, web frameworks (FastAPI, Tornado), RESTful APIs, microservices architecture, version control systems (BitBucket), containerization technologies (Docker, Kubernetes), back-end development, scalable code writing, security and data protection solutions, unit testing, debugging, Java, C#, system maintenance, performance monitoring, troubleshooting, and application issue resolution.","Strong proficiency in Python and SQL, web framework development (FastAPI, Tornado), SQL query optimization and script maintenance, writing clean, reusable code, collaborating with cross-functional teams, troubleshooting and debugging applications, implementing security measures, using version control systems, participating in code reviews, integrating Python APIs, improving system performance, working with RESTful APIs and microservices, using containerization technologies (Docker, Kubernetes), performing unit testing and debugging, diagnosing application issues, providing technical support, and maintaining/updating systems.",python programming sql query development optimization web frameworks fastapi tornado restful apis microservices architecture version control systems bitbucket containerization technologies docker kubernetes backend development scalable code writing security data protection solutions unit testing debugging java c system maintenance performance monitoring troubleshooting application issue resolution,strong proficiency python sql web framework development fastapi tornado sql query optimization script maintenance writing clean reusable code collaborating crossfunctional teams troubleshooting debugging applications implementing security measures using version control systems participating code reviews integrating python apis improving system performance working restful apis microservices using containerization technologies docker kubernetes performing unit testing debugging diagnosing application issues providing technical support maintainingupdating systems,"Python Developer (FastAPI, SQL) GSI python programming sql query development optimization web frameworks fastapi tornado restful apis microservices architecture version control systems bitbucket containerization technologies docker kubernetes backend development scalable code writing security data protection solutions unit testing debugging java c system maintenance performance monitoring troubleshooting application issue resolution strong proficiency python sql web framework development fastapi tornado sql query optimization script maintenance writing clean reusable code collaborating crossfunctional teams troubleshooting debugging applications implementing security measures using version control systems participating code reviews integrating python apis improving system performance working restful apis microservices using containerization technologies docker kubernetes performing unit testing debugging diagnosing application issues providing technical support maintainingupdating systems"
C++ Developer,Tech Mahindra,GSI,"C++11, C++14, C++17, Modern C++, Template metaprogramming, Memory management with smart pointers, Polymorphism, Inheritance, CMake build system, C# (.NET Framework, .NET Core), IIS, ASP.NET Core hosting, Kubernetes, Postgres, SQL Server, GIT, Mercurial SCM, DevOps (TeamCity, Octopus), AWS.","Proficiency in C++11 and later versions, expertise in template metaprogramming, memory management using smart pointers, implementing polymorphism and inheritance in C++, working with the CMake build system, utilizing C# (.NET Framework / .NET Core), managing IIS and ASP.NET Core hosting, deploying applications in Kubernetes, working with Postgres and SQL Server, using version control systems (GIT, Mercurial), DevOps skills (TeamCity, Octopus), cloud deployment on AWS.",c11 c14 c17 modern c template metaprogramming memory management smart pointers polymorphism inheritance cmake build system c net framework net core iis aspnet core hosting kubernetes postgres sql server git mercurial scm devops teamcity octopus aws,proficiency c11 later versions expertise template metaprogramming memory management using smart pointers implementing polymorphism inheritance c working cmake build system utilizing c net framework net core managing iis aspnet core hosting deploying applications kubernetes working postgres sql server using version control systems git mercurial devops skills teamcity octopus cloud deployment aws,C++ Developer GSI c11 c14 c17 modern c template metaprogramming memory management smart pointers polymorphism inheritance cmake build system c net framework net core iis aspnet core hosting kubernetes postgres sql server git mercurial scm devops teamcity octopus aws proficiency c11 later versions expertise template metaprogramming memory management using smart pointers implementing polymorphism inheritance c working cmake build system utilizing c net framework net core managing iis aspnet core hosting deploying applications kubernetes working postgres sql server using version control systems git mercurial devops skills teamcity octopus cloud deployment aws
Software Engineer,Tech Mahindra,GSI,"MPLS (Multiprotocol Label Switching), LDP (Label Distribution Protocol), RSVP-TE (Resource Reservation Protocol-Traffic Engineering), MPLS Static/Dynamic LSP (Label Switched Path), L2VPN (Layer 2 Virtual Private Network), L3VPN (Layer 3 Virtual Private Network), VPLS (Virtual Private LAN Service), VPWS (Virtual Private Wire Service), Virtual-Circuit, Attachment-Circuit, MPLS Domain, System and network virtualization, Software design and development, Routing protocols and services.","Software design, development, and documentation for high-quality product delivery, troubleshooting and resolving routing protocol issues, system and network virtualization, leading and guiding offshore development teams, coordinating with cross-functional teams, working with MPLS features (LDP, RSVP-TE, Static/Dynamic LSP, L2VPN, L3VPN, VPLS, VPWS), logical thinking, strong analytical skills, customer-facing communication, and effective problem-solving.",mpls multiprotocol label switching ldp label distribution protocol rsvpte resource reservation protocoltraffic engineering mpls staticdynamic lsp label switched path l2vpn layer 2 virtual private network l3vpn layer 3 virtual private network vpls virtual private lan service vpws virtual private wire service virtualcircuit attachmentcircuit mpls domain system network virtualization software design development routing protocols services,software design development documentation highquality product delivery troubleshooting resolving routing protocol issues system network virtualization leading guiding offshore development teams coordinating crossfunctional teams working mpls features ldp rsvpte staticdynamic lsp l2vpn l3vpn vpls vpws logical thinking strong analytical skills customerfacing communication effective problemsolving,Software Engineer GSI mpls multiprotocol label switching ldp label distribution protocol rsvpte resource reservation protocoltraffic engineering mpls staticdynamic lsp label switched path l2vpn layer 2 virtual private network l3vpn layer 3 virtual private network vpls virtual private lan service vpws virtual private wire service virtualcircuit attachmentcircuit mpls domain system network virtualization software design development routing protocols services software design development documentation highquality product delivery troubleshooting resolving routing protocol issues system network virtualization leading guiding offshore development teams coordinating crossfunctional teams working mpls features ldp rsvpte staticdynamic lsp l2vpn l3vpn vpls vpws logical thinking strong analytical skills customerfacing communication effective problemsolving
Software Engineer,Cognizant,GSI,"AWS, SQL, Spring Boot, AngularJS, Java, JavaScript, MySQL, troubleshooting complex issues, AWS Certified Solutions Architect, Oracle Certified Professional Java SE Programmer.","Proficiency in AWS, SQL, Spring Boot, AngularJS, Java, JavaScript, MySQL, strong problem-solving abilities, troubleshooting skills, excellent communication and collaboration, proactive attitude towards learning and adopting new technologies.",aws sql spring boot angularjs java javascript mysql troubleshooting complex issues aws certified solutions architect oracle certified professional java se programmer,proficiency aws sql spring boot angularjs java javascript mysql strong problemsolving abilities troubleshooting skills excellent communication collaboration proactive attitude towards learning adopting new technologies,Software Engineer GSI aws sql spring boot angularjs java javascript mysql troubleshooting complex issues aws certified solutions architect oracle certified professional java se programmer proficiency aws sql spring boot angularjs java javascript mysql strong problemsolving abilities troubleshooting skills excellent communication collaboration proactive attitude towards learning adopting new technologies
Software Engineer,Cognizant,GSI,"Microservices, lightweight containers, Spring Boot, Java 8+, JavaScript, design patterns, CICD process, build servers (e.g., Bamboo, GitLab CI, Jenkins), version control, branching strategies, AWS (serverless computing, Lambda, Step Functions, Glue, RDS, DynamoDB, S3, SQS, SNS, Kinesis), SQL, NoSQL databases.","Hands-on experience in microservices development and testing, strong proficiency in Java 8+ and JavaScript, knowledge of design patterns, experience with CICD tools and build servers, understanding of version control and branching strategies, experience with AWS services (Lambda, Step Functions, Glue, RDS, DynamoDB, S3, SQS, SNS, Kinesis), proficiency in SQL and NoSQL databases.",microservices lightweight containers spring boot java 8 javascript design patterns cicd process build servers eg bamboo gitlab ci jenkins version control branching strategies aws serverless computing lambda step functions glue rds dynamodb s3 sqs sns kinesis sql nosql databases,handson experience microservices development testing strong proficiency java 8 javascript knowledge design patterns experience cicd tools build servers understanding version control branching strategies experience aws services lambda step functions glue rds dynamodb s3 sqs sns kinesis proficiency sql nosql databases,Software Engineer GSI microservices lightweight containers spring boot java 8 javascript design patterns cicd process build servers eg bamboo gitlab ci jenkins version control branching strategies aws serverless computing lambda step functions glue rds dynamodb s3 sqs sns kinesis sql nosql databases handson experience microservices development testing strong proficiency java 8 javascript knowledge design patterns experience cicd tools build servers understanding version control branching strategies experience aws services lambda step functions glue rds dynamodb s3 sqs sns kinesis proficiency sql nosql databases
Programmer Analyst,Cognizant,GSI,"VoIP, UCS, Test Automation, Wi-Fi, Cable Modems (DOCSIS/RDK), Wi-Fi/WLAN domain expertise, Python, Java, C++, Linux system programming, RDK-B (Reference Design Kit for Broadband), Low-Level Design, Git version control, shell scripting (Python/TCL/Bash), web-based user interfaces, web server technologies, debugging tools, DevOps pipeline automation, networking protocols (TCP/IP, UDP, DHCP, DNS, VLANs), security best practices (encryption, authentication, network security), wireless technologies (Wi-Fi), and configuration of wireless interfaces in RDK-B.","Strong technical skills in VoIP, UCS, Test Automation, and Wi-Fi/Cable Modem development, proficiency in programming languages (Python, Java, C++), experience with Linux system programming and RDK-B, defining Low-Level Design for broadband components, version control with Git, scripting for automation in RDK-B using Python/TCL/Bash, web interface development and configuration, troubleshooting embedded systems with debugging tools, DevOps pipeline automation, active participation in the RDK-B community, configuring and managing networking protocols, implementing security best practices for network devices, and working with wireless technologies and interfaces.",voip ucs test automation wifi cable modems docsisrdk wifiwlan domain expertise python java c linux system programming rdkb reference design kit broadband lowlevel design git version control shell scripting pythontclbash webbased user interfaces web server technologies debugging tools devops pipeline automation networking protocols tcpip udp dhcp dns vlans security best practices encryption authentication network security wireless technologies wifi configuration wireless interfaces rdkb,strong technical skills voip ucs test automation wificable modem development proficiency programming languages python java c experience linux system programming rdkb defining lowlevel design broadband components version control git scripting automation rdkb using pythontclbash web interface development configuration troubleshooting embedded systems debugging tools devops pipeline automation active participation rdkb community configuring managing networking protocols implementing security best practices network devices working wireless technologies interfaces,Programmer Analyst GSI voip ucs test automation wifi cable modems docsisrdk wifiwlan domain expertise python java c linux system programming rdkb reference design kit broadband lowlevel design git version control shell scripting pythontclbash webbased user interfaces web server technologies debugging tools devops pipeline automation networking protocols tcpip udp dhcp dns vlans security best practices encryption authentication network security wireless technologies wifi configuration wireless interfaces rdkb strong technical skills voip ucs test automation wificable modem development proficiency programming languages python java c experience linux system programming rdkb defining lowlevel design broadband components version control git scripting automation rdkb using pythontclbash web interface development configuration troubleshooting embedded systems debugging tools devops pipeline automation active participation rdkb community configuring managing networking protocols implementing security best practices network devices working wireless technologies interfaces
Software Engineer,Capgemini,GSI,"CI/CD pipeline setup, GitHub, Git commands, webhook management, Linux, Jenkins, SonarQube, repository migration (Bitbucket to GitHub), Groovy, PowerShell, Artifact tools (Nexus3, NexusIQ), Docker, source code management (GitHub/Bitbucket), infrastructure documentation, deployment processes, resource estimation, SQL-based database solutions (SQL Server, PostgreSQL), backup and disaster recovery strategies.","Experience with setting up and managing CI/CD pipelines using GitHub, managing webhooks and Git commands, basic knowledge of Linux, Jenkins, and SonarQube, repository migration from Bitbucket to GitHub, scripting with Groovy and PowerShell, troubleshooting application, infrastructure, and deployment pipeline issues, using Artifact tools (Nexus3, NexusIQ), Docker containerization, source code management with GitHub and Bitbucket, creating and maintaining infrastructure and deployment documentation, estimating resource requirements for performance and scalability, working with SQL-based databases (SQL Server, PostgreSQL), implementing backup and disaster recovery plans, and excellent oral and written communication skills.",cicd pipeline setup github git commands webhook management linux jenkins sonarqube repository migration bitbucket github groovy powershell artifact tools nexus3 nexusiq docker source code management githubbitbucket infrastructure documentation deployment processes resource estimation sqlbased database solutions sql server postgresql backup disaster recovery strategies,experience setting managing cicd pipelines using github managing webhooks git commands basic knowledge linux jenkins sonarqube repository migration bitbucket github scripting groovy powershell troubleshooting application infrastructure deployment pipeline issues using artifact tools nexus3 nexusiq docker containerization source code management github bitbucket creating maintaining infrastructure deployment documentation estimating resource requirements performance scalability working sqlbased databases sql server postgresql implementing backup disaster recovery plans excellent oral written communication skills,Software Engineer GSI cicd pipeline setup github git commands webhook management linux jenkins sonarqube repository migration bitbucket github groovy powershell artifact tools nexus3 nexusiq docker source code management githubbitbucket infrastructure documentation deployment processes resource estimation sqlbased database solutions sql server postgresql backup disaster recovery strategies experience setting managing cicd pipelines using github managing webhooks git commands basic knowledge linux jenkins sonarqube repository migration bitbucket github scripting groovy powershell troubleshooting application infrastructure deployment pipeline issues using artifact tools nexus3 nexusiq docker containerization source code management github bitbucket creating maintaining infrastructure deployment documentation estimating resource requirements performance scalability working sqlbased databases sql server postgresql implementing backup disaster recovery plans excellent oral written communication skills
Software Engineer,Capgemini,GSI,"Cards/Payment domain, Core Java, Spring Framework (Spring Boot, Spring Batch), RESTful API services, Unix Shell scripting, relational databases, SQL, cloud platforms (AWS, Azure, Google Cloud, Oracle), Java EE applications, CI/CD pipelines, Java application development, high-availability applications, software analysis and error checking, integration and deployment processes","Strong experience in Java development, expertise in Core Java, Spring Framework (Spring Boot, Spring Batch), RESTful API services, writing test cases and Unix Shell scripts, proficient with relational databases and SQL, problem-solving abilities, experience with cloud platforms (AWS, Azure, Google Cloud, Oracle), hands-on Java and Java EE applications, implementation of CI/CD pipelines, planning, developing, and maintaining Java applications, efficient and error-free coding, collaboration on projects, integration and deployment of updates, creating high-availability applications, software analysis and error checking, and excellent communication, organizational, and teamwork skills.",cardspayment domain core java spring framework spring boot spring batch restful api services unix shell scripting relational databases sql cloud platforms aws azure google cloud oracle java ee applications cicd pipelines java application development highavailability applications software analysis error checking integration deployment processes,strong experience java development expertise core java spring framework spring boot spring batch restful api services writing test cases unix shell scripts proficient relational databases sql problemsolving abilities experience cloud platforms aws azure google cloud oracle handson java java ee applications implementation cicd pipelines planning developing maintaining java applications efficient errorfree coding collaboration projects integration deployment updates creating highavailability applications software analysis error checking excellent communication organizational teamwork skills,Software Engineer GSI cardspayment domain core java spring framework spring boot spring batch restful api services unix shell scripting relational databases sql cloud platforms aws azure google cloud oracle java ee applications cicd pipelines java application development highavailability applications software analysis error checking integration deployment processes strong experience java development expertise core java spring framework spring boot spring batch restful api services writing test cases unix shell scripts proficient relational databases sql problemsolving abilities experience cloud platforms aws azure google cloud oracle handson java java ee applications implementation cicd pipelines planning developing maintaining java applications efficient errorfree coding collaboration projects integration deployment updates creating highavailability applications software analysis error checking excellent communication organizational teamwork skills
Software Engineer - B,Capgemini,GSI,"C, C++, Linux, Shell scripting, Linux internals (IPC mechanisms, threads, socket programming), data structures and algorithms, enterprise application development, operating system concepts, multi-threaded programming, socket programming, REST API implementation, debugging tools (dbx, kdb, gdb).","Strong programming skills in C, C++, Linux and Shell scripting, expertise in Linux internals (IPC, threads, socket programming), deep knowledge of operating system concepts and multi-threaded programming, experience with REST API implementation, advanced debugging skills using tools like dbx, kdb, and gdb, and ability to develop robust enterprise applications.",c c linux shell scripting linux internals ipc mechanisms threads socket programming data structures algorithms enterprise application development operating system concepts multithreaded programming socket programming rest api implementation debugging tools dbx kdb gdb,strong programming skills c c linux shell scripting expertise linux internals ipc threads socket programming deep knowledge operating system concepts multithreaded programming experience rest api implementation advanced debugging skills using tools like dbx kdb gdb ability develop robust enterprise applications,Software Engineer - B GSI c c linux shell scripting linux internals ipc mechanisms threads socket programming data structures algorithms enterprise application development operating system concepts multithreaded programming socket programming rest api implementation debugging tools dbx kdb gdb strong programming skills c c linux shell scripting expertise linux internals ipc threads socket programming deep knowledge operating system concepts multithreaded programming experience rest api implementation advanced debugging skills using tools like dbx kdb gdb ability develop robust enterprise applications
Web Application Development - .NET Fullstack with Angular or React JS,Deloitte,GSI,"Microservices implementation, containerized environments, .NET Core, C#, Web API, Angular 2+, React JS, JavaScript, jQuery, GitLab, CI/CD, HTML, CSS, Test-Driven Development (TDD), Agile development methodologies, Jira, GitHub, Jenkins, Collaborator, design patterns, unit testing, debugging, triaging, performance tuning, troubleshooting, software systems, development in fast-paced environments.","Experience in implementing microservices in containerized environments, strong web development skills with .NET Core, C#, Web API, Angular 2+, React JS, JavaScript, jQuery, GitLab, CI/CD, HTML, CSS, proficiency in Test-Driven Development (TDD), Agile development (Jira, GitHub, Jenkins, Collaborator), understanding of common design patterns and unit testing, excellent debugging, triaging, and performance tuning abilities, troubleshooting large software systems, ability to work effectively both individually and as part of a team in fast-paced environments, and exceptional written and verbal communication skills in English",microservices implementation containerized environments net core c web api angular 2 react js javascript jquery gitlab cicd html css testdriven development tdd agile development methodologies jira github jenkins collaborator design patterns unit testing debugging triaging performance tuning troubleshooting software systems development fastpaced environments,experience implementing microservices containerized environments strong web development skills net core c web api angular 2 react js javascript jquery gitlab cicd html css proficiency testdriven development tdd agile development jira github jenkins collaborator understanding common design patterns unit testing excellent debugging triaging performance tuning abilities troubleshooting large software systems ability work effectively individually part team fastpaced environments exceptional written verbal communication skills english,Web Application Development - .NET Fullstack with Angular or React JS GSI microservices implementation containerized environments net core c web api angular 2 react js javascript jquery gitlab cicd html css testdriven development tdd agile development methodologies jira github jenkins collaborator design patterns unit testing debugging triaging performance tuning troubleshooting software systems development fastpaced environments experience implementing microservices containerized environments strong web development skills net core c web api angular 2 react js javascript jquery gitlab cicd html css proficiency testdriven development tdd agile development jira github jenkins collaborator understanding common design patterns unit testing excellent debugging triaging performance tuning abilities troubleshooting large software systems ability work effectively individually part team fastpaced environments exceptional written verbal communication skills english
DET-Senior Software Engineer,Ernst & Young (EY),GSI,"Java software development (Java 8+), JVM, SQL and NoSQL databases, data structures, concurrency, Maven, Git, IDEs, distributed systems, UNIX systems, Cloud Computing (AWS, GCP, Azure), Docker, system testing, unit testing, release and deployment management, Agile Project Management, SAFE, Scrum concepts, Agile certification (plus).","Strong experience in Java software development (Java 8+), hands-on experience with SQL and NoSQL databases, expertise in data structures and concurrency, proficient with development tools like Maven, Git, and IDEs, experience with distributed systems and UNIX systems, familiarity with Cloud Computing (AWS, GCP, or Azure), cross-platform integration, system testing, and unit testing, knowledge of release and deployment management processes, Docker containerization, and extensive experience in delivering large programs/projects using Agile methodologies (SAFE, Scrum), with Agile certification being a plus.",java software development java 8 jvm sql nosql databases data structures concurrency maven git ides distributed systems unix systems cloud computing aws gcp azure docker system testing unit testing release deployment management agile project management safe scrum concepts agile certification plus,strong experience java software development java 8 handson experience sql nosql databases expertise data structures concurrency proficient development tools like maven git ides experience distributed systems unix systems familiarity cloud computing aws gcp azure crossplatform integration system testing unit testing knowledge release deployment management processes docker containerization extensive experience delivering large programsprojects using agile methodologies safe scrum agile certification plus,DET-Senior Software Engineer GSI java software development java 8 jvm sql nosql databases data structures concurrency maven git ides distributed systems unix systems cloud computing aws gcp azure docker system testing unit testing release deployment management agile project management safe scrum concepts agile certification plus strong experience java software development java 8 handson experience sql nosql databases expertise data structures concurrency proficient development tools like maven git ides experience distributed systems unix systems familiarity cloud computing aws gcp azure crossplatform integration system testing unit testing knowledge release deployment management processes docker containerization extensive experience delivering large programsprojects using agile methodologies safe scrum agile certification plus
TechOps-DE-CloudOpsAMS-JAVA FULLSTACK-Senior,Ernst & Young (EY),GSI,"Java, J2EE, Java 8, RESTful Web Services, Spring Boot, Angular/React, Cloud platforms (Azure, AWS), DevOps tools (GIT, Jenkins), Oracle, MS-SQL Server, SQL, architecture styles/APIs (REST, RPC), software development best practices, on-call support.","Proven experience in Java development (Java, J2EE, Java 8), building and deploying RESTful Web Services, hands-on experience with Spring Boot, front-end frameworks like Angular/React, cloud platforms (Azure, AWS), and DevOps tools (GIT, Jenkins). Solid SQL skills with experience in Oracle and MS-SQL Server, understanding of architecture styles and APIs (REST, RPC), troubleshooting and communication skills, attention to detail, knowledge of software development best practices, excellent business communication skills, and ability to work in shifts with on-call support.",java j2ee java 8 restful web services spring boot angularreact cloud platforms azure aws devops tools git jenkins oracle mssql server sql architecture stylesapis rest rpc software development best practices oncall support,proven experience java development java j2ee java 8 building deploying restful web services handson experience spring boot frontend frameworks like angularreact cloud platforms azure aws devops tools git jenkins solid sql skills experience oracle mssql server understanding architecture styles apis rest rpc troubleshooting communication skills attention detail knowledge software development best practices excellent business communication skills ability work shifts oncall support,TechOps-DE-CloudOpsAMS-JAVA FULLSTACK-Senior GSI java j2ee java 8 restful web services spring boot angularreact cloud platforms azure aws devops tools git jenkins oracle mssql server sql architecture stylesapis rest rpc software development best practices oncall support proven experience java development java j2ee java 8 building deploying restful web services handson experience spring boot frontend frameworks like angularreact cloud platforms azure aws devops tools git jenkins solid sql skills experience oracle mssql server understanding architecture styles apis rest rpc troubleshooting communication skills attention detail knowledge software development best practices excellent business communication skills ability work shifts oncall support
Software Engineering - Application Developer - 11,Accenture,GSI,"HTML, CSS, JavaScript, JavaScript frameworks (React, Angular, Vue), JavaScript libraries (jQuery, Bootstrap), HTML5, semantic HTML5 elements, cross-browser compatibility, responsive web design.","Experience in developing modern, responsive, and cross-browser-compatible websites, proficiency in HTML, CSS, and JavaScript, expertise with JavaScript frameworks (React, Angular, Vue), working knowledge of JavaScript libraries (jQuery, Bootstrap), strong understanding of HTML5, including semantic HTML5 elements, and ensuring cross-browser compatibility for web applications.",html css javascript javascript frameworks react angular vue javascript libraries jquery bootstrap html5 semantic html5 elements crossbrowser compatibility responsive web design,experience developing modern responsive crossbrowsercompatible websites proficiency html css javascript expertise javascript frameworks react angular vue working knowledge javascript libraries jquery bootstrap strong understanding html5 including semantic html5 elements ensuring crossbrowser compatibility web applications,Software Engineering - Application Developer - 11 GSI html css javascript javascript frameworks react angular vue javascript libraries jquery bootstrap html5 semantic html5 elements crossbrowser compatibility responsive web design experience developing modern responsive crossbrowsercompatible websites proficiency html css javascript expertise javascript frameworks react angular vue working knowledge javascript libraries jquery bootstrap strong understanding html5 including semantic html5 elements ensuring crossbrowser compatibility web applications
Software Engineering - Test Automation Engineer - 11,Accenture,GSI,"Aviation background (preferred), End-to-End Automation Testing, UI Testing, Performance Testing, API Testing, Test Automation tools (Selenium, Selenium WebDriver, Cucumber, Jenkins), AWS.","Expertise in End-to-End Automation Testing, UI Testing, Performance Testing, and API Testing, proficiency with Test Automation tools like Selenium, Selenium WebDriver, Cucumber, and Jenkins pipeline, familiarity with AWS, and willingness to learn and adapt, especially in an aviation context.",aviation background preferred endtoend automation testing ui testing performance testing api testing test automation tools selenium selenium webdriver cucumber jenkins aws,expertise endtoend automation testing ui testing performance testing api testing proficiency test automation tools like selenium selenium webdriver cucumber jenkins pipeline familiarity aws willingness learn adapt especially aviation context,Software Engineering - Test Automation Engineer - 11 GSI aviation background preferred endtoend automation testing ui testing performance testing api testing test automation tools selenium selenium webdriver cucumber jenkins aws expertise endtoend automation testing ui testing performance testing api testing proficiency test automation tools like selenium selenium webdriver cucumber jenkins pipeline familiarity aws willingness learn adapt especially aviation context
