job_role,company_name,company_type,knowledge,skills
"Java, Spring Boot, Microservices, Devops Tools/Associate Project Manager",HSBC,GCC,"Java 11/17, J2EE, distributed computing, cloud computing (GCP, AWS, Private Cloud), Spring Boot and its ecosystem (Spring Data JPA, Spring Security, Spring Integration, Spring Cloud), Hibernate, ORM concepts, MongoDB, NoSQL database design, microservices architecture, API architecture and engineering, REST, API Gateways, gRPC, Protocol Buffers, containerization technologies (Docker, Kubernetes), CI/CD pipelines, DevOps practices, version control systems (Git), problem-solving, global collaboration, interpersonal skills, stakeholder management, leadership in diverse teams.","Developing applications using Java and Spring Boot, designing and implementing microservices, API architecture and engineering, working with NoSQL databases, using containerization technologies, implementing CI/CD pipelines, using Git for version control, problem-solving in fast-paced environments, leading and coaching teams, collaborating in global environments, building relationships with stakeholders, adapting to dynamic work environments, proactive learning and self-adjustment."
uReturn -Software Engineer / Applications Developer / Data Engineer,Uber,GCC,"Programming languages (C, C++, Java, Python, Go, JavaScript, CSS, Node.js), Oracle ERP system integration, web application architecture, scalable service architecture, big data frameworks (Spark, Flink, Presto), data modeling, ETL processes, big data ecosystem design, technical program management, product management, data science.","Proficiency in programming and scripting languages (Python, Java, Scala, SQL), architecting and maintaining web applications and scalable services, building and maintaining big data systems, designing and implementing ETL pipelines, technical program management, leading product management initiatives, applying data science techniques to solve complex problems."
Staff Software Engineer,Uber,GCC,"Developer tooling, compilation steps in languages such as Go, C, C++, Java, metrics for measuring developer experience, backend development, distributed systems.","Mentoring software engineers, working with code review tools (e.g., Phabricator, GitHub), automation test infrastructure (unit, integration, E2E), build systems (Bazel, Buck), problem-solving, analytical skills, continuous learning, communication, and collaboration abilities."
Staff Software Engineer,Uber,GCC,"Large scale distributed software systems, Java for backend/system software development, SQL, data analytics at scale, Apache Pinot, Apache Druid, Presto, Apache Flink, Apache Spark, production systems with strong availability SLA.","Building and managing distributed software systems, system optimization, data analytics, working with advanced analytics technologies, managing production environments, problem-solving, and technical communication."
Software Engineer III - GBS IND,Bank of America,GCC,"Workday configurations, Workday Studio, Core Connectors, EIBs, PICOF, Custom Reports, Calculated Fields, XSLTs, Payroll, Time Off/Absence, Time, Recruiting, Integration Security, ERP, HCM domains, Web technologies (XML, XSLT, Web Services).","Integration using Workday Studio, creating sub-assemblies, creating custom reports and calculated fields, working in Agile environments, using JIRA, experience with large-scale projects, web service integration, and problem-solving in ERP/HCM domains."
Software Engineer II B - GBS IND,Bank of America,GCC,"Apache, WebSphere, WebLogic, Tomcat, AppDynamics, Dynatrace.","Excellent written and spoken English, presentation skills, troubleshooting, teamwork, collaboration, multi-tasking, task prioritization, ability to work under tight deadlines in dynamic environments."
Software Engineer III - GBS IND,Bank of America,GCC,".NET web UI/API development using C#, MVC, jQuery, CSS, Kendo, Bootstrap, JavaScript, AngularJS, MS SQL, CI/CD pipeline, Subversion, GIT, API connectivity, SDLC, object-oriented programming concepts, design patterns, MVC.","HTML, CSS, JavaScript, Angular, Git, SQL, software development best practices, ability to translate mid-level design to low-level design, code packaging and promotion, multitasking, ability to manage multiple priorities, packaging and promotion for development, testing, and production environments."
C/C++ Developer,Ericsson,GCC,"UNIX/Linux environments, Operating system internals, C/C++ programming, Multi-threaded programming, Thread pools, Socket programming, Process synchronization, Python, Shell, Perl scripting, Source code control (GIT), Oracle/SQL, Agile methodologies (Scrum), Telecom applications.","Experience in software development in UNIX/Linux environments, Strong C/C++ programming skills, Expertise in multi-threaded programming, socket programming, and process synchronization, Experience in Python, Shell, and Perl scripting, Familiarity with source code control (GIT), Basic knowledge of Oracle/SQL, Problem-solving and remediation of complex issues, Experience in Agile (Scrum), Telecom applications experience, Full feature lifecycle development (design, development, test, release)."
C programming,Infosys,GSI,"C programming, Embedded Operating Systems (OS), Linux, VxWorks, Cisco IOS, Embedded systems, Embedded software, Open Systems architecture.","C programming language, Linux system management, VxWorks system configuration, Embedded software development, Cisco IOS configuration, troubleshooting, and debugging in embedded systems, working with embedded OS environments"
Enterprise Network Admin,Infosys,GSI,"CISCO SD Access, Aruba SD LAN deployment, Open Networking, Network Wireless (CISCO, Aruba), Network Automation, Python, Ansible, HLD & LLD Documentation, IPAM, DDI, NAC, NTP Server implementations, Cisco Identity Services Engine (ISE), Software Defined WAN (SDWAN), Software Defined Access, CISCO technologies, Switching, Routing technologies.","CISCO SD Access deployment, Aruba SD LAN deployment, Network Automation using Python/Ansible, documentation of High-Level Design (HLD) and Low-Level Design (LLD), implementation and management of IPAM, DDI, NAC, and NTP servers, configuring and managing Cisco Identity Services Engine (ISE), SDWAN and SD Access configuration, expertise in Cisco technologies, network switching, and routing."
NodeJS & Typescript Developer,Infosys,GSI,"NodeJS, Typescript, Microservices, API development, AWS, Core Java, Java Socket Programming, Python, JavaScript UI development, Memcache, NoSQL, Algorithms, UI & Markup Language, TypeScript.","NodeJS development, TypeScript programming, Microservices architecture, API integration, AWS services, Java Socket programming, Python development, JavaScript UI development, working with Memcache, NoSQL databases, algorithm design and optimization, TypeScript-based UI development, and efficient use of markup languages."
Performance Test Engineer/Lead,Tata Consultany Services(TCS),GSI,"JMeter, Blazemeter, Load RoadRunner/Stormrunner, NFR requirements analysis, performance test script design and execution, application performance analysis, performance monitoring tools (Datadog, Splunk, Azure AppInsight, Mongo Atlas), relational and NoSQL databases, query tools, Azure infrastructure components, Kubernetes clusters, performance SLAs, application performance KPIs.","Performance test script development, test result analysis, troubleshooting performance issues, stakeholder communication and requirement elicitation, leadership, organizational and facilitation skills, project management, multitasking, effective report creation, problem-solving, and collaboration with developers and project teams."
Gen AI Engineer,Tata Consultany Services(TCS),GSI,"Machine learning techniques (deep learning, reinforcement learning, predictive modeling), AI, ML, NLP, TensorFlow, PyTorch, Keras, scikit-learn, NLTK, Langchain, Python libraries (NumPy, Pandas, Matplotlib, Plotly), Large Language Models (LLMs) like GPT-3, GPT-4, BERT, Claude, Gemini, Mistral, data preprocessing, data exploration, and visualization tools, data analysis, forecasting algorithms (Linear Regression, Logistic Regression, GBM, Decision Trees, Random Forest, Neural Networks), software engineering principles, version control, cloud services (AWS, Azure), AI model testing and validation.","Machine learning and AI model development, working with LLMs and applying NLP techniques, data preprocessing and exploration, proficiency in Python programming and AI frameworks (TensorFlow, PyTorch, scikit-learn, Keras), experience in data visualization using libraries like Matplotlib and Plotly, data analysis and forecasting using statistical and machine learning algorithms, strong programming skills in Python, Java, JavaScript, knowledge of software engineering best practices, deployment of AI solutions on cloud platforms like AWS and Azure, developing rigorous testing methodologies for AI models, communication of complex technical concepts to both technical and non-technical stakeholders, and effective problem-solving in dynamic environments."
Azure Databricks Data Engineer,Tata Consultany Services(TCS),GSI,"OLTP, OLAP, Data Warehousing (DW) technologies, Azure SQL, Azure SQL DW, Azure Data Lake Store, Azure Data Factory, Microsoft Azure PaaS features, Azure Cloud, Azure Databricks, cloud platforms, data modeling, data analysis, data governance, requirement gathering and client communication, conflict resolution in terms of bandwidth or design issues.","Implementation and operations of OLTP, OLAP, and DW technologies in Azure (SQL, SQL DW, Data Lake, Data Factory), working with Azure Cloud and Databricks, gathering and translating client requirements to technical teams, resolving bandwidth or design conflicts, applying data modeling and governance practices, strong client handling and communication skills, and the ability to manage complex technical and business requirements."
"Python Developer (FastAPI, SQL)",Tech Mahindra,GSI,"Python programming, SQL query development and optimization, web frameworks (FastAPI, Tornado), RESTful APIs, microservices architecture, version control systems (BitBucket), containerization technologies (Docker, Kubernetes), back-end development, scalable code writing, security and data protection solutions, unit testing, debugging, Java, C#, system maintenance, performance monitoring, troubleshooting, and application issue resolution.","Strong proficiency in Python and SQL, web framework development (FastAPI, Tornado), SQL query optimization and script maintenance, writing clean, reusable code, collaborating with cross-functional teams, troubleshooting and debugging applications, implementing security measures, using version control systems, participating in code reviews, integrating Python APIs, improving system performance, working with RESTful APIs and microservices, using containerization technologies (Docker, Kubernetes), performing unit testing and debugging, diagnosing application issues, providing technical support, and maintaining/updating systems."
C++ Developer,Tech Mahindra,GSI,"C++11, C++14, C++17, Modern C++, Template metaprogramming, Memory management with smart pointers, Polymorphism, Inheritance, CMake build system, C# (.NET Framework, .NET Core), IIS, ASP.NET Core hosting, Kubernetes, Postgres, SQL Server, GIT, Mercurial SCM, DevOps (TeamCity, Octopus), AWS.","Proficiency in C++11 and later versions, expertise in template metaprogramming, memory management using smart pointers, implementing polymorphism and inheritance in C++, working with the CMake build system, utilizing C# (.NET Framework / .NET Core), managing IIS and ASP.NET Core hosting, deploying applications in Kubernetes, working with Postgres and SQL Server, using version control systems (GIT, Mercurial), DevOps skills (TeamCity, Octopus), cloud deployment on AWS."
Software Engineer,Tech Mahindra,GSI,"MPLS (Multiprotocol Label Switching), LDP (Label Distribution Protocol), RSVP-TE (Resource Reservation Protocol-Traffic Engineering), MPLS Static/Dynamic LSP (Label Switched Path), L2VPN (Layer 2 Virtual Private Network), L3VPN (Layer 3 Virtual Private Network), VPLS (Virtual Private LAN Service), VPWS (Virtual Private Wire Service), Virtual-Circuit, Attachment-Circuit, MPLS Domain, System and network virtualization, Software design and development, Routing protocols and services.","Software design, development, and documentation for high-quality product delivery, troubleshooting and resolving routing protocol issues, system and network virtualization, leading and guiding offshore development teams, coordinating with cross-functional teams, working with MPLS features (LDP, RSVP-TE, Static/Dynamic LSP, L2VPN, L3VPN, VPLS, VPWS), logical thinking, strong analytical skills, customer-facing communication, and effective problem-solving."
Software Engineer,Cognizant,GSI,"AWS, SQL, Spring Boot, AngularJS, Java, JavaScript, MySQL, troubleshooting complex issues, AWS Certified Solutions Architect, Oracle Certified Professional Java SE Programmer.","Proficiency in AWS, SQL, Spring Boot, AngularJS, Java, JavaScript, MySQL, strong problem-solving abilities, troubleshooting skills, excellent communication and collaboration, proactive attitude towards learning and adopting new technologies."
Software Engineer,Cognizant,GSI,"Microservices, lightweight containers, Spring Boot, Java 8+, JavaScript, design patterns, CICD process, build servers (e.g., Bamboo, GitLab CI, Jenkins), version control, branching strategies, AWS (serverless computing, Lambda, Step Functions, Glue, RDS, DynamoDB, S3, SQS, SNS, Kinesis), SQL, NoSQL databases.","Hands-on experience in microservices development and testing, strong proficiency in Java 8+ and JavaScript, knowledge of design patterns, experience with CICD tools and build servers, understanding of version control and branching strategies, experience with AWS services (Lambda, Step Functions, Glue, RDS, DynamoDB, S3, SQS, SNS, Kinesis), proficiency in SQL and NoSQL databases."
Programmer Analyst,Cognizant,GSI,"VoIP, UCS, Test Automation, Wi-Fi, Cable Modems (DOCSIS/RDK), Wi-Fi/WLAN domain expertise, Python, Java, C++, Linux system programming, RDK-B (Reference Design Kit for Broadband), Low-Level Design, Git version control, shell scripting (Python/TCL/Bash), web-based user interfaces, web server technologies, debugging tools, DevOps pipeline automation, networking protocols (TCP/IP, UDP, DHCP, DNS, VLANs), security best practices (encryption, authentication, network security), wireless technologies (Wi-Fi), and configuration of wireless interfaces in RDK-B.","Strong technical skills in VoIP, UCS, Test Automation, and Wi-Fi/Cable Modem development, proficiency in programming languages (Python, Java, C++), experience with Linux system programming and RDK-B, defining Low-Level Design for broadband components, version control with Git, scripting for automation in RDK-B using Python/TCL/Bash, web interface development and configuration, troubleshooting embedded systems with debugging tools, DevOps pipeline automation, active participation in the RDK-B community, configuring and managing networking protocols, implementing security best practices for network devices, and working with wireless technologies and interfaces."
Software Engineer,Capgemini,GSI,"CI/CD pipeline setup, GitHub, Git commands, webhook management, Linux, Jenkins, SonarQube, repository migration (Bitbucket to GitHub), Groovy, PowerShell, Artifact tools (Nexus3, NexusIQ), Docker, source code management (GitHub/Bitbucket), infrastructure documentation, deployment processes, resource estimation, SQL-based database solutions (SQL Server, PostgreSQL), backup and disaster recovery strategies.","Experience with setting up and managing CI/CD pipelines using GitHub, managing webhooks and Git commands, basic knowledge of Linux, Jenkins, and SonarQube, repository migration from Bitbucket to GitHub, scripting with Groovy and PowerShell, troubleshooting application, infrastructure, and deployment pipeline issues, using Artifact tools (Nexus3, NexusIQ), Docker containerization, source code management with GitHub and Bitbucket, creating and maintaining infrastructure and deployment documentation, estimating resource requirements for performance and scalability, working with SQL-based databases (SQL Server, PostgreSQL), implementing backup and disaster recovery plans, and excellent oral and written communication skills."
Software Engineer,Capgemini,GSI,"Cards/Payment domain, Core Java, Spring Framework (Spring Boot, Spring Batch), RESTful API services, Unix Shell scripting, relational databases, SQL, cloud platforms (AWS, Azure, Google Cloud, Oracle), Java EE applications, CI/CD pipelines, Java application development, high-availability applications, software analysis and error checking, integration and deployment processes","Strong experience in Java development, expertise in Core Java, Spring Framework (Spring Boot, Spring Batch), RESTful API services, writing test cases and Unix Shell scripts, proficient with relational databases and SQL, problem-solving abilities, experience with cloud platforms (AWS, Azure, Google Cloud, Oracle), hands-on Java and Java EE applications, implementation of CI/CD pipelines, planning, developing, and maintaining Java applications, efficient and error-free coding, collaboration on projects, integration and deployment of updates, creating high-availability applications, software analysis and error checking, and excellent communication, organizational, and teamwork skills."
Software Engineer - B,Capgemini,GSI,"C, C++, Linux, Shell scripting, Linux internals (IPC mechanisms, threads, socket programming), data structures and algorithms, enterprise application development, operating system concepts, multi-threaded programming, socket programming, REST API implementation, debugging tools (dbx, kdb, gdb).","Strong programming skills in C, C++, Linux and Shell scripting, expertise in Linux internals (IPC, threads, socket programming), deep knowledge of operating system concepts and multi-threaded programming, experience with REST API implementation, advanced debugging skills using tools like dbx, kdb, and gdb, and ability to develop robust enterprise applications."
Web Application Development - .NET Fullstack with Angular or React JS,Deloitte,GSI,"Microservices implementation, containerized environments, .NET Core, C#, Web API, Angular 2+, React JS, JavaScript, jQuery, GitLab, CI/CD, HTML, CSS, Test-Driven Development (TDD), Agile development methodologies, Jira, GitHub, Jenkins, Collaborator, design patterns, unit testing, debugging, triaging, performance tuning, troubleshooting, software systems, development in fast-paced environments.","Experience in implementing microservices in containerized environments, strong web development skills with .NET Core, C#, Web API, Angular 2+, React JS, JavaScript, jQuery, GitLab, CI/CD, HTML, CSS, proficiency in Test-Driven Development (TDD), Agile development (Jira, GitHub, Jenkins, Collaborator), understanding of common design patterns and unit testing, excellent debugging, triaging, and performance tuning abilities, troubleshooting large software systems, ability to work effectively both individually and as part of a team in fast-paced environments, and exceptional written and verbal communication skills in English"
DET-Senior Software Engineer,Ernst & Young (EY),GSI,"Java software development (Java 8+), JVM, SQL and NoSQL databases, data structures, concurrency, Maven, Git, IDEs, distributed systems, UNIX systems, Cloud Computing (AWS, GCP, Azure), Docker, system testing, unit testing, release and deployment management, Agile Project Management, SAFE, Scrum concepts, Agile certification (plus).","Strong experience in Java software development (Java 8+), hands-on experience with SQL and NoSQL databases, expertise in data structures and concurrency, proficient with development tools like Maven, Git, and IDEs, experience with distributed systems and UNIX systems, familiarity with Cloud Computing (AWS, GCP, or Azure), cross-platform integration, system testing, and unit testing, knowledge of release and deployment management processes, Docker containerization, and extensive experience in delivering large programs/projects using Agile methodologies (SAFE, Scrum), with Agile certification being a plus."
TechOps-DE-CloudOpsAMS-JAVA FULLSTACK-Senior,Ernst & Young (EY),GSI,"Java, J2EE, Java 8, RESTful Web Services, Spring Boot, Angular/React, Cloud platforms (Azure, AWS), DevOps tools (GIT, Jenkins), Oracle, MS-SQL Server, SQL, architecture styles/APIs (REST, RPC), software development best practices, on-call support.","Proven experience in Java development (Java, J2EE, Java 8), building and deploying RESTful Web Services, hands-on experience with Spring Boot, front-end frameworks like Angular/React, cloud platforms (Azure, AWS), and DevOps tools (GIT, Jenkins). Solid SQL skills with experience in Oracle and MS-SQL Server, understanding of architecture styles and APIs (REST, RPC), troubleshooting and communication skills, attention to detail, knowledge of software development best practices, excellent business communication skills, and ability to work in shifts with on-call support."
Software Engineering - Application Developer - 11,Accenture,GSI,"HTML, CSS, JavaScript, JavaScript frameworks (React, Angular, Vue), JavaScript libraries (jQuery, Bootstrap), HTML5, semantic HTML5 elements, cross-browser compatibility, responsive web design.","Experience in developing modern, responsive, and cross-browser-compatible websites, proficiency in HTML, CSS, and JavaScript, expertise with JavaScript frameworks (React, Angular, Vue), working knowledge of JavaScript libraries (jQuery, Bootstrap), strong understanding of HTML5, including semantic HTML5 elements, and ensuring cross-browser compatibility for web applications."
Software Engineering - Test Automation Engineer - 11,Accenture,GSI,"Aviation background (preferred), End-to-End Automation Testing, UI Testing, Performance Testing, API Testing, Test Automation tools (Selenium, Selenium WebDriver, Cucumber, Jenkins), AWS.","Expertise in End-to-End Automation Testing, UI Testing, Performance Testing, and API Testing, proficiency with Test Automation tools like Selenium, Selenium WebDriver, Cucumber, and Jenkins pipeline, familiarity with AWS, and willingness to learn and adapt, especially in an aviation context."
Software Engineering - Application Developer - 11,Accenture,GSI,"React.js, React 16.0, React Hooks, Redux, Flux, Webpack, JavaScript ES6, data management (React components, parent-child, sibling components), AWS (S3, RDS, Cognito, Lambda), cloud infrastructure management, Python (willingness to learn), web interface design (Sigma, Git, CSS, Adobe XD).","Proficient in React 16.0 and React Hooks, hands-on experience with JavaScript ES6, data management between React components (parent-child, sibling components), experience in creating user interfaces using React tools, converting design mockups into code, working with libraries and tools such as Sigma, Git, CSS, Adobe XD, front-end performance profiling, and improvement. Skilled in cloud infrastructure setup and maintenance (AWS, S3, RDS, Cognito, Lambda), and a readiness to learn Python."
AIML Engineer - GENAI,LTI-Mindtree,Service,"Generative AI, AIML, RAG methodologies, vector databases, document chunking, cloud AI services (AWS, Azure), Python, Flask, FastAPI, deep learning, NLP, machine learning algorithms (GPT, CNN, RNN, etc.), MLOps, cloud platforms (AWS, GCP, Azure).","Experience in Generative AI and AIML, implementing end-to-end AI projects, designing AI/ML solutions, working with RAG, vector databases, and cloud AI services. Proficient in Python, deep learning, TensorFlow, NLP, and machine learning algorithms. Experience in automating RAG pipelines and setting up monitoring and observability for AI solutions. Familiar with MLOps and cloud platforms (AWS, Azure, GCP)."
Software Engineering,LTI-Mindtree,Service,"Spring Boot, Java (Java 7, 8), Spring Core, Spring MVC, Swagger, Tomcat 8, Maven, Jenkins, SVN, GIT, Postman, Newman, RESTful Services, Microservices, NodeJS, Spring Integration, Spring Data, Containers.","Proficient in Java (Java 7, 8), Spring Framework (Spring Boot, Spring Core, Spring MVC, Spring Integration, Spring Data), RESTful services, Swagger, and Microservices. Hands-on experience with Tomcat 8, Maven, Jenkins, SVN, GIT, Postman, Newman, Mountebank, and NodeJS. Strong written and verbal communication skills, with a solid understanding of modern Spring platform capabilities."
CyberSecurity,LTI-Mindtree,Service,"Malware analysis, reverse engineering, network protocols, file formats, AV evasion, MITRE ATT&CK, penetration testing tools (e.g., Veil, Meterpreter, PowerShell Empire), APTs, incident response, OS internals, and cybersecurity.","Expert in malware analysis and reversing, using tools like debuggers and disassemblers. Proficient in advanced malware techniques, kill chain, AV evasion, and penetration testing tools. Strong research, analytical, and cybersecurity skills with experience in threat research and endpoint security."
Team Leader-Software,SLK Global Solutions,Service,"CI/CD pipeline management, Infrastructure as Code (IaC) using tools like Terraform/Ansible, containerization with Docker and Kubernetes, version control (Git), cloud services (AWS, Azure, GCP), security best practices, vulnerability scanning, and encryption.","Experience in automating software builds, testing, deployment, and infrastructure provisioning. Proficient in monitoring (Prometheus, ELK stack), scripting (Python, Bash, PowerShell), release management, and managing cloud infrastructure. Strong collaboration and communication skills to align development and operations teams. Expertise in maintaining documentation and ensuring secure, scalable environments."
Technical Leader-Software,SLK Global Solutions,Service,"SDLC, engineering and design concepts, programming languages, development processes, MS Office suite (Word, Excel, PowerPoint, Visio).","Strong understanding of SDLC and engineering design principles. Proficiency in programming languages and development tools. Expertise in MS Office tools for documentation, presentations, and process visualization."
Salesforce development � Senior Software Engineer,Aspire Systems,Service,"Salesforce Service Cloud, Experience Cloud, Visualforce Pages, Apex Classes, SOQL, Triggers, Lightning, LWC, Workflow, Approval Process, Flow, Third-party integrations, Data migration, SFDC Administration, Flow Management, Configurations.","Hands-on development, Import wizard, Apex Data Loader, Deployment via Workbench, Git (GitLab, GitHub), Jenkins, Change set."
Machine Learning Engineer,Ramco Systems,Service,"Machine learning, Deep learning, Data manipulation, SQL & NoSQL databases (MongoDB), Machine learning techniques (clustering, recommender systems, NLP, Deep learning), Advanced statistical techniques (regression, distributions, statistical tests), CI/CD, DevOps tools (Jira, Jenkins, GIT/Bitbucket), Containerization technologies (Docker, Kubernetes).","Hands-on experience in model development and deployment, Programming, Software engineering design patterns, Experience in deploying ML solutions at scale, Problem-solving, Working independently and collaboratively."
"Engineering Manager, Creator Support, YouTube",Ramco Systems,Service,"Computer Science Engineering, C/C++, C#, Java, JavaScript, Python, People management, Technical engineering principles, Communication skills.","Coding in multiple programming languages, People management experience, Verbal and written communication, Vision articulation and team alignment."
Full Stack Developer,Expleo,Service,"Full-stack software development, JavaScript, TypeScript, React, Python, Elastic Search, Modern enterprise and cloud architectures (microservices, serverless, event-driven, reactive), AWS cloud services (Lambda, ECS, CloudFormation, CDK), Object-oriented design, Enterprise design patterns, Postgres, NoSQL databases (DynamoDB), CI/CD practices, Application optimization, Scaling, Security, Caching strategies, Distributed computing.","Proven experience in full-stack development, Expertise in JavaScript, TypeScript, React, and Python, Experience with Elastic Search, AWS services, Infrastructure as code (CloudFormation, CDK), Data engineering with traditional and NoSQL databases, CI/CD implementation, Application optimization, Scaling, and security practices, Strong analytical and problem-solving abilities, Strong written and oral communication skills."
Java Full Stack Developer,Virtusa,Service,"Java, Spring, Spring Boot, Java Collections, Multithreading, Interfaces, Exception Handling, Generics, ORM, Transaction Management, RDBMS, Code review tools (SonarQube, Black Duck), HTML, CSS, JavaScript, Angular, Angular CLI, TypeScript, npm, Client-side web development.","Hands-on development experience in Java, HTML, CSS, JavaScript, Angular, and TypeScript, Experience with Java collections, multithreading, ORM, and transaction management, Working with RDBMS, Using code review tools (SonarQube, Black Duck), Client-side web development with npm and Angular CLI."
Java Backend Developer,Virtusa,Service,"Java Full Stack Development, Spring Boot, Cloud and Microservices Architecture, Kafka, SQL database procedures and queries, Angular, React, Cloud-native applications on AWS.","Proficiency in Java Full Stack Development, Hands-on experience with Spring Boot, Kafka for event-driven design, SQL optimization, Experience with Angular and/or React, Building cloud-native applications on AWS."
C++ Developer,Virtusa,Service,"Embedded systems, C/C++ programming, OOA/OOD development methodologies, Agile/SCRUM, Multithreading, IPC, ARM/ARC microprocessor architectures, Communication protocols (RS232, I2C, SPI, CAN, TCP, UDP), Firmware development, Electronics lab equipment, SW algorithm development, Source control management (TFS, GIT), In Vitro Diagnostic domain, Medical device design, FPGA-based SoCs.","Experience in embedded solution design and development, Proficiency in C/C++ for embedded systems, Multithreading and deadlock resolution, Firmware development on ARM/ARC architectures, Communication protocol implementation (RS232, I2C, SPI, CAN, TCP, UDP), Writing portable and reusable code, Analyzing complex firmware, Effective communication with global teams, Agile development, Source control (TFS, GIT), Device driver development, Project execution and delivery, Strong analytical skills."
Application Developer,Fujitsu,Service,"Oracle Database, SQL, PLSQL, RDBMS Concepts, ER Data Modelling, Database Design, UI Design, Procedures, Functions, Packages, PLSQL Collections, Nested Tables, Varrays, PLSQL Object Types, JSON, Regular Expressions, Materialized Views, Analytical Functions, Triggers, Exception Handling, Ref Cursors, Performance Tuning, Advanced PLSQL coding concepts, JIRA, GitHub, SVN, Confluence, SQL Developer, Visual Code Studio.","Expert in Oracle Database and related concepts (SQL, PLSQL, RDBMS, ER Data Modelling), Strong hands-on experience with JavaScript, CSS, HTML5, Performance tuning and advanced PLSQL coding, Writing and optimizing PLSQL procedures, functions, packages, and triggers, Handling JSON and regular expressions, Strong communication skills for client interaction, Ready to work in UK shift."
"Python API, AWS Lambda",CGI,Service,"Python, AWS Lambda, AWS Glue, ORM (SQL Server, Oracle), PySpark, AWS services (VPC, EC2, S3, Lambda, RDS), Application architecture, IBM Spectrum Conductor, FLASK API, Sharepoint API, SCRUM.","Hands-on experience with Python API development, AWS Lambda, Glue, and other AWS services, Expertise in ORM and databases (SQL Server, Oracle), Strong proficiency in PySpark, Architecting and designing complex applications, Creating and managing AWS resources (VPC, EC2, RDS, Lambda), Coordinating with teams to provide technical solutions, Strong communication and problem-solving skills, Experience with RESTful APIs, Familiarity with SCRUM methodology."
"Data Analyst, EMSX",Amazon,MAANG/FAAMG,"SQL, Microsoft Office, Windows-based applications, data warehousing, data modeling, capacity planning, operations planning, business analysis, data pipelining, data mining tools (SAS, SPSS, etc.), visualization tools (Tableau), advanced Microsoft Excel, R, Python.","Analytical ability, results-oriented mindset, customer interaction, written and verbal communication, presentation skills, logical thinking, SQL proficiency, data extraction, data analysis, data automation, capacity planning, operations analysis, business analysis."
"Data Analyst, Global Tax Services",Amazon,MAANG/FAAMG,"Tax, finance, analytical field, Excel (VBA, pivot tables, array functions, power pivots), data visualization tools (Tableau), SQL, Alteryx, business analysis, financial analysis, business requirements definition, data and metrics analysis, stakeholder management.","Data analysis, business insights drawing, Excel proficiency, SQL proficiency, influencing stakeholders, business recommendations, Alteryx workflow design, written communication, high-caliber documentation production."
"Business Analyst, WHS Data",Amazon,MAANG/FAAMG,"SQL, ETL, data manipulation, macros, charts, pivot tables, business insights, data and metrics analysis, BI, finance, engineering, statistics, computer science, mathematics, data warehousing (DW) concepts, large-scale datasets, complex SQL queries","Excel proficiency, Tableau proficiency, SQL query creation, data analysis, requirement definition, business insights, ETL processes, handling large datasets, data visualization, data manipulation"
??Sr Data Analyst?,Microsoft,MAANG/FAAMG,"Computer Science, Math, Software Engineering, Computer Engineering, Business Analytics, Data Science, Software Development, Data Modeling, Data Engineering, Microsoft Cloud security requirements, Power BI, Kusto performance tuning.","Business analytics, data modeling, data engineering, software development, data analysis, Power BI proficiency, Kusto tuning, security screening compliance, Microsoft Cloud background check, analytical thinking, problem-solving."
Principal Product Manager,Microsoft,MAANG/FAAMG,"Security operations, security domain technologies, architectures, and practices, technical pre-sales, technical consulting, product management, cross-group project management, customer engagement, SOC environment challenges, Microsoft security products (Defender, Purview, Entra, Intune), AI, ML concepts, Data Lake architectures, open data formats, data services (log ingestion, transformation), SIEM, SOAR solutions (Microsoft Sentinel).","Technical consulting, product management, stakeholder management, project management, customer-facing roles, communication (verbal and written), adapting communication style for different audiences (C-level, business, technical), solution identification, customer needs evaluation, managing expectations, concise presentation delivery, data architecture, familiarity with AI/ML applications, security solution implementation, SIEM/SOAR solutions deployment, analytical thinking, troubleshooting within security operations."
Data Engineer II,Microsoft,MAANG/FAAMG,"Computer Science, data analytics, data engineering technologies, ETL, business problems and opportunities, large data systems (SQL/T-SQL, Hadoop, Presto, Kafka, Spark, Azure Synapse, Databricks, HDInsight), Azure Storage, Data Lake, Cosmos DB, Data Warehouses, Power BI, Data Modeling, DevOps (Version Control, CI/CD), Azure, AWS, GCP.","SQL proficiency, data analysis, data engineering, problem-solving, goal setting, collaboration, organizational skills, partnership development, analytical thinking, data system management, Power BI proficiency, data modeling, DevOps experience, cloud platform experience (Azure, AWS, GCP), self-motivation, teamwork, driving measurable goals, communication."
Data Engineer,Apple,MAANG/FAAMG,"Software engineering, distributed systems, cloud technologies, microservices architecture, big data technologies (Hadoop, Spark, Kafka), Java, Scala, cloud platforms (AWS, GCP, Azure), DevOps technologies (Docker, Kubernetes), database technologies (SQL, NoSQL)","Distributed systems design, cloud platform expertise, microservices architecture, Java/Scala proficiency, big data processing, DevOps practices, Docker, Kubernetes, database management (SQL/NoSQL), technical problem-solving, system integration."
